,n_fires,ret_pct
2023-09-26,11.0,-0.05007261720755274
2023-09-27,13.0,0.2631619198663282
2023-09-28,12.0,-0.9783629666773708
2023-09-29,11.0,0.5877516917168757
2023-10-03,13.0,-0.5578424654468894
2023-10-04,7.0,-0.47443072713306833
2023-10-05,5.0,0.5641584105285702
2023-10-06,7.0,0.5512707366051472
2023-10-09,4.0,-0.718194675884698
2023-10-10,9.0,0.9096802976240159
2023-10-11,11.0,0.6170692128707245
2023-10-12,14.0,-0.08757409120068171
2023-10-13,10.0,-0.21698099802970328
2023-10-16,15.0,-0.09772027556287366
2023-10-17,19.0,0.4041709427698992
2023-10-18,9.0,-0.7086812741337156
2023-10-19,6.0,-0.23588102112443998
2023-10-20,9.0,-0.41808960845935994
2023-10-23,5.0,-1.3350307425555652
2023-10-25,2.0,-0.8277236732921023
2023-10-26,1.0,-1.3853064912347501
2023-10-27,2.0,1.0075700327460302
2023-10-30,3.0,0.49167407696648624
2023-10-31,4.0,-0.3202606982899536
2023-11-01,4.0,-0.4740624572936891
2023-11-02,3.0,0.7588523257266999
2023-11-03,6.0,0.5087980838331285
2023-11-06,10.0,0.941990339899168
2023-11-07,13.0,-0.026019195847870602
2023-11-08,15.0,0.18962926582819506
2023-11-09,12.0,-0.24789373698150818
2023-11-10,12.0,0.1549283945833313
2023-11-13,20.0,0.09369804014345284
2023-11-15,26.0,1.1926753508604282
2023-11-16,19.0,0.4561522280999375
2023-11-17,27.0,-0.16897597201204206
2023-11-20,20.0,-0.19157289123818977
2023-11-21,19.0,0.45394734754240496
2023-11-22,12.0,0.14380348265852216
2023-11-23,13.0,-0.04971574875239915
2023-11-24,8.0,-0.03686890844358803
2023-11-28,28.0,0.4799264638990497
2023-11-29,36.0,1.040238911355451
2023-11-30,48.0,0.18187545137213768
2023-12-01,53.0,0.6692941610506598
2023-12-04,77.0,2.066816900376933
2023-12-05,38.0,0.8135565760247543
2023-12-06,45.0,0.39606432442005346
2023-12-07,37.0,-0.17455990623970186
2023-12-08,39.0,0.3265370504707432
2023-12-11,37.0,0.1320935183362959
2023-12-12,31.0,-0.43196070141755527
2023-12-13,27.0,0.09542158562574343
2023-12-14,63.0,1.2250087289956912
2023-12-15,60.0,1.2932779200891975
2023-12-18,42.0,-0.17710126840955187
2023-12-19,33.0,0.1608374856572503
2023-12-20,24.0,-1.412146609423337
2023-12-21,6.0,0.49597940765233606
2023-12-22,16.0,0.44389265566107117
2023-12-26,31.0,0.43068759341071683
2023-12-27,40.0,0.9952749920727699
2023-12-28,47.0,0.5723881307796219
2023-12-29,36.0,-0.21717930740454694
2024-01-01,39.0,0.048317180721269004
2024-01-02,32.0,-0.3500136051024061
2024-01-03,40.0,-0.685186637566948
2024-01-04,52.0,0.6564470186349425
2024-01-05,43.0,0.24101822286055619
2024-01-08,23.0,-0.911070868564301
2024-01-09,21.0,0.14804820050666745
2024-01-10,24.0,0.34277152411805734
2024-01-11,36.0,0.13183031833516878
2024-01-12,34.0,1.1426492637705898
2024-01-15,38.0,0.9267074694848665
2024-01-16,32.0,-0.29482333845447517
2024-01-17,9.0,-2.0894393512082443
2024-01-18,13.0,-0.5085271508735612
2024-01-19,34.0,0.746195718645537
2024-01-23,47.0,-1.774084294273448
2024-01-24,7.0,1.0129971071150878
2024-01-25,21.0,-0.47240537554001927
2024-01-29,42.0,1.8030591452244726
2024-01-30,43.0,-0.9913698102483215
2024-01-31,33.0,0.9460025419002926
2024-02-01,37.0,-0.13003033741542103
2024-02-02,53.0,0.7205988175093214
2024-02-05,55.0,-0.37568550808078083
2024-02-06,27.0,0.7243402101531293
2024-02-07,38.0,0.005014315737827957
2024-02-08,37.0,-0.9692017110872975
2024-02-09,20.0,0.29722318898448563
2024-02-12,17.0,-0.7641419430735708
2024-02-13,5.0,0.5884480011507653
2024-02-14,11.0,0.44519922849619586
2024-02-15,25.0,0.32371361888359207
2024-02-16,30.0,0.5930843022260657
2024-02-19,23.0,0.37000088082788096
2024-02-20,11.0,0.33766555730090353
2024-02-21,11.0,-0.6392700010330099
2024-02-22,13.0,0.736332185814148
2024-02-23,22.0,-0.02137959201901074
2024-02-26,27.0,-0.40809285088362346
2024-02-27,30.0,0.3448994348646428
2024-02-28,7.0,-1.1135927809948543
2024-02-29,7.0,0.14418556686905948
2024-03-01,16.0,1.6192168700068565
2024-03-04,28.0,0.29925402887358565
