ticker,date,group,ema34_rising10,fresh,swing_pnl,day1_pnl
BHARATFORG,2024-06-03,Common,10.0,False,6.797266718166983,0.015547263681603418
BHARATFORG,2024-06-14,Common,10.0,False,7.703177430915664,3.4104402459004257
BHARATFORG,2024-06-20,Common,10.0,False,-6.146350244352272,3.2235728800389163
BHARATFORG,2025-05-09,Delta,8.0,False,6.552152263063982,3.4695309459912282
BHARATFORG,2025-05-12,Common,9.0,False,6.266187825461844,1.0327726826370176
BHARATFORG,2025-05-13,Common,9.0,False,4.202427806668463,-0.7517827274742817
BHARATFORG,2025-05-14,Common,9.0,False,2.6530901186260003,1.6271286153251463
BHARATFORG,2025-05-16,Common,9.0,False,2.117663308340645,0.11689881258927226
BHARATFORG,2025-05-19,Common,9.0,False,1.5708876416392625,-1.045951345634033
BHARATFORG,2025-06-03,Common,10.0,False,1.0695152940898955,-0.6066606839266631
BHARATFORG,2025-06-06,Common,10.0,False,1.3519973190629253,0.9882884877803422
BHARATFORG,2025-06-09,Common,10.0,False,0.145577010664244,4.118941423797651
BHARATFORG,2025-09-16,Delta,7.0,True,-4.429465575349045,1.861661403792536
BHARATFORG,2025-09-17,Delta,8.0,True,-4.893797256297261,0.5091558742896574
BHARATFORG,2025-10-28,Common,10.0,False,6.4168080714609665,-0.7176189543557809
BHARATFORG,2025-11-03,Common,10.0,False,4.991293087866766,0.41603771656284483
BHARATFORG,2025-11-11,Common,10.0,False,6.144794450666979,3.4878752790480805
BHARATFORG,2025-11-19,Common,10.0,False,-2.415629236656891,2.957924763143893
BHARATFORG,2026-02-04,Delta,7.0,False,5.041544444907875,0.12907753424316049
BHARATFORG,2026-02-09,Common,9.0,False,4.3189321941924375,-1.0264499889545364
BHARATFORG,2026-02-11,Common,10.0,False,12.73256475815112,3.1330668857321387
BHARATFORG,2026-02-12,Common,10.0,False,7.965265682338085,3.5393984242197307
BHARATFORG,2026-02-13,Common,10.0,False,3.7557941151061147,-1.5056228097813373
BHARATFORG,2026-02-19,Common,10.0,False,2.1682334954677973,-2.427107625912217
BHARATFORG,2026-02-23,Common,10.0,False,5.065078672710155,1.3419509820655318
BHARATFORG,2026-02-24,Common,10.0,False,-3.659072667893526,1.1265760425294813
BHARATFORG,2026-02-25,Common,10.0,False,-8.6244078980794,1.498194947576792
BHARATFORG,2026-02-26,Common,10.0,False,-10.787099751355612,0.1853311585711337
BHARATFORG,2026-04-16,Delta,6.0,True,7.228954012955047,-0.14777677995266858
BHARATFORG,2026-04-17,Delta,7.0,True,6.612102092444383,-0.28352859359116467
BHARATFORG,2026-04-21,Common,9.0,True,5.371437015463987,-0.1696998248333914
BHARATFORG,2026-04-22,Common,10.0,False,3.5501357138101985,-1.3288648143096382
BHARATFORG,2026-04-29,Common,10.0,True,3.0122129308813195,-1.5778264218679228
BHARATFORG,2026-05-07,Common,10.0,False,-0.12500058472636466,2.538744773237256
BHARATFORG,2026-05-08,Common,10.0,False,-5.598820545733096,-2.638194407965
BHARATFORG,2026-06-15,Common,10.0,True,5.271982998166069,2.079494406268889
BHARATFORG,2026-06-19,Common,10.0,True,4.188442172573392,0.031777175043301575
BHARATFORG,2026-06-22,Common,10.0,False,2.4109822903871203,2.1839092954745842
BHARATFORG,2026-06-23,Common,10.0,False,-1.1189413785821722,0.9807087242137635
BHARATFORG,2026-06-29,Common,10.0,False,0.5583386412803426,-2.948918720985594
BHARATFORG,2026-07-17,Common,10.0,True,3.576591081498681,0.35296851896597925
BHARATFORG,2026-07-20,Common,10.0,True,2.60528746636981,0.018872575610462405
BHARATFORG,2026-08-07,Common,10.0,True,-10.637183622759661,1.566079962031952
